Patch Number, Robot Number, Seed, Algorithm Time, Success, Run Time, Total Time, Price
10,1,1,5.375287055969238,True,18.976,8.27299690246582,340.7245351973952
10,1,2,9.038689136505127,True,35.616,13.368687868118286,645.5550234390191
10,1,3,7.729614734649658,True,33.120000000000005,11.590834856033325,609.7955188180443
10,1,4,6.064976930618286,True,22.784000000000006,10.215981006622314,388.69184961233134
10,1,5,15.252625942230225,True,29.311999999999983,20.33701467514038,616.1164472170711
10,1,6,6.695140838623047,True,27.904000000000025,10.794513940811157,570.8468506251911
10,1,7,5.549602031707764,True,18.815999999999974,9.205848932266235,361.25574282523155
10,1,8,6.691797971725464,True,25.24800000000002,11.025882720947266,449.08189819931977
10,1,9,7.223461866378784,True,36.31999999999999,10.764566898345947,724.3680861448398
10,1,10,6.472155809402466,True,20.192000000000007,11.045156002044678,344.26062664676135
10,1,11,7.710127830505371,True,36.54399999999998,11.333448886871338,671.6545915981328
10,1,12,7.805239915847778,True,24.448000000000036,11.621821880340576,471.25419008295955
10,1,13,5.927937030792236,True,15.135999999999967,10.402889013290405,235.98674833826163
10,1,14,7.932816028594971,True,24.73599999999999,12.167586088180542,422.8994189640614
10,1,15,6.633076190948486,True,25.951999999999998,10.913749933242798,453.84284484990974
10,1,16,5.310382843017578,True,24.99200000000002,9.761318683624268,435.9265360174304
10,1,17,6.230576038360596,True,24.927999999999997,9.731677293777466,423.9713681023292
10,1,18,7.406087875366211,True,28.448000000000036,11.207372903823853,479.23439406536033
10,1,19,8.136569261550903,True,29.91999999999996,12.475418090820312,484.98557026166725
11,1,1,5.575667142868042,True,25.792,8.484044075012207,508.1987202083488
11,1,2,6.246933937072754,True,34.72,9.871428966522217,637.4552929761481
11,1,3,11.12987494468689,True,46.016000000000005,16.5558979511261,915.3362923128029
11,1,4,8.955666780471802,True,26.559999999999988,12.77561902999878,392.97455698024055
11,1,5,14.084977865219116,True,74.24000000000001,19.332093238830566,1414.5841056977065
11,1,6,8.242502212524414,True,44.512,12.860069990158081,838.6632061494506
11,1,8,6.744079113006592,True,23.775999999999954,10.453737020492554,411.97654549836767
11,1,9,16.20886492729187,True,71.32799999999997,20.9327712059021,1444.8340912814056
11,1,10,6.778042793273926,True,29.951999999999998,11.073987007141113,590.9295094458802
11,1,11,21.083854913711548,False,42.624000000000024,25.963062047958374,652.8339867251328
11,1,12,10.160861253738403,True,48.0,14.901762962341309,611.0288698880166
11,1,13,8.345499992370605,True,23.936000000000035,12.55136489868164,462.4298552535086
11,1,14,9.506786108016968,True,40.639999999999986,14.110459089279175,551.4126560098578
11,1,15,8.129321098327637,True,37.34400000000005,12.67864203453064,527.0151243605529
11,1,16,9.063345909118652,True,45.88799999999992,13.851056098937988,462.37430981492565
11,1,17,13.806838035583496,True,136.288,19.272000789642334,1184.3889303798821
11,1,18,8.509718179702759,True,43.680000000000064,13.489662885665894,624.3541333686538
11,1,19,9.588051795959473,True,49.440000000000055,14.327744007110596,669.9752387628976
11,1,7,9.252120018005371,True,23.264,11.892411947250366,394.3125895573312
12,1,0,21.549821138381958,True,79.712,25.39617609977722,1515.2817637728292
12,1,1,9.560918092727661,True,54.495999999999995,13.812845230102539,1039.0332475160617
12,1,2,18.570180892944336,False,25.951999999999998,22.848659992218018,405.2446071318514
12,1,3,6.955525159835815,True,46.816,10.717737197875977,897.3172950631426
12,1,4,9.731796026229858,True,300.064,19.04028582572937,875.6823099394269
12,1,5,18.21525502204895,False,24.863999999999976,21.61908507347107,496.9481024408967
12,1,6,10.19996690750122,True,51.039999999999964,15.382278203964233,982.6880747163361
12,1,7,12.148921012878418,True,48.48000000000002,16.488273859024048,932.4802184405372
12,1,8,17.384148836135864,True,300.0640000000001,26.654485940933228,562.4561379056952
12,1,9,16.53599977493286,False,28.480000000000018,20.47880220413208,550.3077368900969
12,1,10,8.612145185470581,True,32.928,13.082228899002075,618.9807845199617
12,1,11,15.782368898391724,True,300.0959999999999,25.150103092193604,1347.3407457339463
12,1,12,7.4812352657318115,True,31.58400000000006,11.41556191444397,565.8795947351555
12,1,13,8.195341110229492,True,26.048000000000002,12.462756872177124,430.53650635737756
12,1,14,18.004371881484985,True,50.75199999999995,22.484222173690796,946.6201089057006
12,1,15,8.494027853012085,True,36.128000000000156,12.861246347427368,653.6100900529408
12,1,16,13.662812948226929,True,47.103999999999814,18.406545877456665,914.6352831035466
12,1,17,17.39760398864746,False,79.45600000000013,23.023247718811035,375.9420235600102
12,1,18,24.444844007492065,False,300.06399999999985,33.80360412597656,508.08968479129805
12,1,19,11.192242860794067,True,39.488000000000056,15.412527084350586,717.9641641884981
13,1,0,26.733824014663696,False,32.384000000000015,31.210859060287476,521.2726400624034
13,1,1,10.479161024093628,True,42.40000000000009,15.12053894996643,804.0200428948277
13,1,2,15.231096029281616,False,31.903999999999996,19.59201717376709,488.4410283198391
13,1,3,29.214763641357422,False,300.06399999999985,39.07835292816162,621.4496546941989
13,1,4,13.742586135864258,True,97.69599999999991,18.92901301383972,1282.372224826765
13,1,5,19.032126903533936,False,300.0640000000003,32.29954719543457,532.2529007716097
13,1,6,26.307010889053345,False,45.440000000000055,30.66744112968445,570.5850789827762
13,1,7,9.082334041595459,True,38.399999999999636,13.633203029632568,536.4329546539084
13,1,8,14.088073968887329,True,50.36800000000039,18.94431495666504,725.8956440174289
13,1,9,10.276334047317505,True,208.89599999999973,17.771840810775757,2022.006208424938
13,1,10,19.433843851089478,True,53.3119999999999,24.333749055862427,956.6540593005168
13,1,11,24.636857271194458,False,70.08000000000038,30.133919954299927,797.5178938159212
13,1,12,17.990577936172485,True,115.87199999999984,24.00053095817566,1072.8643871912843
