Patch Number,Robot Number,Seed,Algorithm Time,Success,Run Time,Total Time,Price
1,4,0,1.375824213027954,True,34.208,21.45672917366028,374.03238124283655
1,4,1,1.3325858116149902,True,21.28,2.727494716644287,409.17967007485555
1,4,2,2.348675012588501,True,12.992000000000004,3.6147947311401367,230.38237345283335
1,4,3,2.299736976623535,True,15.584000000000003,3.555448055267334,331.8588600980268
1,4,4,0.4286961555480957,True,4.256,1.54079008102417,43.01162633521314
1,4,5,1.3619930744171143,True,18.464,2.644378900527954,366.2855143643418
1,4,6,0.9227890968322754,True,8.99199999999999,2.0928397178649902,141.65097952361643
1,4,7,0.4862692356109619,True,10.656000000000006,1.6495308876037598,181.99450541156455
1,4,8,1.2165858745574951,True,8.256000000000014,2.5317251682281494,141.49501037215356
1,4,9,1.8575100898742676,True,18.52799999999999,3.1038689613342285,385.61469825704586
1,4,10,2.0668530464172363,True,15.295999999999992,3.315937042236328,318.8406013048658
1,4,11,1.3672089576721191,True,25.695999999999998,2.6822640895843506,528.4114813629186
1,4,12,1.6719260215759277,True,17.951999999999998,2.909557580947876,370.9190936820053
1,4,13,0.9744100570678711,True,7.872000000000014,2.1490659713745117,147.10540438746634
1,4,14,2.31069278717041,True,5.343999999999994,3.5108249187469482,49.254441424099
1,4,15,0.462177038192749,True,12.544000000000011,1.7190678119659424,232.80034364235806
1,4,16,0.42680907249450684,True,5.823999999999984,1.5794758796691895,69.85699678629192
1,4,17,0.4490211009979248,True,7.168000000000006,1.6027729511260986,118.37651794169315
1,4,18,1.5196959972381592,True,23.67999999999998,2.8327460289001465,485.6183456376772
1,4,19,2.6156389713287354,True,11.391999999999996,3.792109966278076,211.63936393763234
2,4,0,3.157064914703369,True,36.86400000000003,25.899932146072388,409.02731180245144
2,4,1,1.8710849285125732,True,600.0640000000001,9.605958223342896,410.20491792123755
2,4,2,1.8699889183044434,True,25.696000000000026,22.095309019088745,408.49186083473825
2,4,3,1.9690759181976318,True,34.94399999999996,3.6460230350494385,690.8126226238746
2,4,4,1.2462480068206787,True,15.903999999999996,2.4818930625915527,275.1074409567593
2,4,5,1.5507047176361084,True,20.480000000000018,2.8706018924713135,384.17509256718347
2,4,6,0.8490149974822998,True,15.168000000000006,2.0480942726135254,272.86073525847024
2,4,7,0.8048486709594727,True,18.65599999999995,2.0714950561523438,339.3683846097254
2,4,8,1.5246241092681885,True,23.58400000000006,2.8601419925689697,449.945237198036
2,4,9,1.6794638633728027,True,25.855999999999995,3.231720209121704,521.1060464609889
2,4,10,1.8944871425628662,True,23.104000000000042,3.221281051635742,436.28900089122794
2,4,11,1.8279211521148682,True,26.687999999999874,3.1580710411071777,550.6191300037178
2,4,12,1.5280771255493164,True,70.72000000000003,42.16194820404053,655.7338189512958
2,4,13,0.7385189533233643,True,10.847999999999956,2.002019166946411,217.9432473811657
2,4,14,1.5661349296569824,True,20.608000000000175,2.8459832668304443,376.4394044037567
2,4,15,0.774648904800415,True,12.927999999999884,1.94911527633667,239.254048949201
2,4,16,1.9098458290100098,True,19.935999999999922,3.234299898147583,315.5520319087183
2,4,17,1.594017744064331,True,16.448000000000093,2.9359121322631836,318.66746148561515
2,4,18,2.1049280166625977,True,24.960000000000036,3.4638619422912598,512.2660452469547
2,4,19,2.037832021713257,True,18.399999999999864,3.294419050216675,357.7962579406036
3,4,0,2.374574661254883,True,600.0640000000001,28.715716123580933,764.4714122699758
3,4,1,2.2213430404663086,True,20.736000000000104,3.0100929737091064,407.7846552573149
3,4,2,1.851712942123413,True,22.048000000000002,3.091419219970703,414.2358086902939
3,4,3,2.1389520168304443,True,44.99199999999996,3.698378086090088,864.4335349923194
3,4,4,1.9826858043670654,True,24.544000000000096,3.3772590160369873,457.31440299264796
3,4,5,1.993060827255249,True,40.447999999999865,22.218297958374023,423.6255974960866
3,4,6,1.8599720001220703,True,26.11200000000008,3.362898826599121,517.6992856965092
3,4,7,1.1271958351135254,True,21.759999999999764,2.42395281791687,396.72202721280553
3,4,8,2.5809988975524902,True,37.120000000000346,23.46432399749756,632.7541658191594
3,4,9,2.611912965774536,True,33.37599999999975,4.211557865142822,693.5241429601219
3,4,10,2.716902256011963,True,56.960000000000036,23.50870180130005,909.2598002220321
3,4,11,2.280263900756836,True,27.48799999999983,3.7214930057525635,552.4599096784807
3,4,12,2.4312047958374023,True,48.44800000000032,23.281884908676147,671.1831295736814
3,4,13,1.0350489616394043,True,13.087999999999738,2.268192768096924,237.88670349928734
3,4,14,1.8817470073699951,True,20.960000000000036,3.1948673725128174,376.90029244558696
3,4,15,1.184891939163208,True,600.0640000000003,85.86100387573242,405.2811551698421
3,4,16,2.166731834411621,True,41.88799999999992,22.512717247009277,535.4802106978924
3,4,17,2.127833843231201,True,23.48799999999983,3.5796380043029785,471.9659300555519
3,4,18,2.256804943084717,True,49.88799999999992,22.476306200027466,718.7001485206753
3,4,19,1.985050916671753,True,33.56800000000021,22.835445165634155,423.72147764515574
4,4,0,2.8810341358184814,True,600.0639999999999,29.714107990264893,802.8490621856844
4,4,1,2.4399590492248535,True,24.864000000000033,3.2717020511627197,476.53152115795336
4,4,2,2.1422219276428223,True,23.840000000000146,3.4085230827331543,436.26637766375615
4,4,3,2.6198859214782715,True,46.40000000000009,4.271320104598999,874.6150284192394
4,4,4,1.9698069095611572,True,25.695999999999913,3.3741540908813477,463.6051985168094
4,4,5,2.351184129714966,True,600.096,29.167343854904175,450.60335512302277
4,4,6,2.1183359622955322,True,32.64000000000033,3.0278470516204834,653.77780730806
4,4,7,2.2544541358947754,True,29.695999999999913,3.56618595123291,573.0003573025851
4,4,8,2.706530809402466,True,32.607999999999265,4.050574779510498,635.9556088560244
4,4,9,2.9446141719818115,True,600.0640000000003,48.651763916015625,763.7296201571189
4,4,10,3.121222972869873,True,600.0640000000003,29.052366971969604,1074.4036093080258
4,4,11,2.5439748764038086,True,39.840000000000146,3.4993138313293457,772.1570091484119
4,4,12,2.222261905670166,True,48.57600000000002,23.180158853530884,712.2009063241449
4,4,13,2.1468300819396973,True,21.055999999999585,3.6969380378723145,380.58218345573187
4,4,14,2.1715400218963623,True,29.184000000000196,3.587378740310669,527.991685623259
4,4,15,1.5252940654754639,True,50.01599999999962,41.941067934036255,438.59800128196184
4,4,16,3.001887083053589,True,46.46399999999994,24.232758045196533,692.5193490519802
4,4,17,2.6034610271453857,True,68.99200000000019,42.85719704627991,497.2285024230559
4,4,18,2.77779483795166,True,51.36000000000058,22.741951942443848,763.0020527478509
4,4,19,2.1222429275512695,True,36.99199999999928,23.504765033721924,506.3288967536772
1,3,0,1.0608391761779785,True,7.84,1.8335227966308594,162.4438364481706
1,3,1,1.2860279083251953,True,7.936,2.8237979412078857,144.5042304921141
1,3,2,1.259389877319336,True,11.616,2.880048990249634,203.02709178826356
1,3,3,1.5895581245422363,True,8.16,3.4038100242614746,167.3141724695348
1,3,4,1.3302249908447266,True,22.784,3.111536979675293,420.99465491363003
1,3,5,1.1141831874847412,True,4.736000000000004,2.6994659900665283,35.4400902933387
1,3,6,0.579075813293457,True,8.096000000000004,2.7157649993896484,141.65097952361643
1,3,7,0.5585129261016846,True,8.896,2.202458143234253,140.21768789992225
1,3,8,1.4660239219665527,True,12.959999999999994,3.1723408699035645,242.6625794363313
1,3,9,0.6644818782806396,True,12.736000000000004,2.4503066539764404,261.6123085789352
1,3,10,1.1941766738891602,True,10.335999999999999,2.7829480171203613,209.41824180333478
1,3,11,1.5926673412322998,True,13.759999999999991,3.2568511962890625,256.7021763297667
1,3,12,1.2905569076538086,True,10.944000000000017,2.939864158630371,259.21250971884706
1,3,13,0.5335443019866943,True,2.3359999999999843,2.0868637561798096,11.40175425099138
1,3,14,1.1551909446716309,True,16.32000000000002,3.2393572330474854,309.66687001209493
1,3,15,0.6361758708953857,True,3.8079999999999927,2.216691017150879,47.853944456021594
1,3,16,1.584028959274292,True,9.888000000000005,3.179487943649292,176.28007629532814
1,3,17,1.1460578441619873,True,7.295999999999992,2.7641170024871826,118.37651794169315
1,3,18,1.0128400325775146,True,9.984000000000009,2.73146390914917,184.49590877156095
1,3,19,1.3352258205413818,True,7.744,3.0217819213867188,142.88806808127822
2,3,0,1.3602240085601807,True,9.375999999999976,3.0505590438842773,192.52705436115326
2,3,1,1.7282500267028809,True,8.192000000000007,3.8047101497650146,144.49997622569919
2,3,2,1.4908928871154785,True,12.319999999999993,2.740678071975708,210.373089844596
2,3,3,2.958513021469116,True,22.560000000000002,5.407516956329346,437.74850137837996
2,3,4,1.850268840789795,True,23.00800000000001,3.8201327323913574,433.056081143908
2,3,5,1.673429012298584,True,4.415999999999997,3.221900701522827,35.4400902933387
2,3,6,0.9259970188140869,True,8.73599999999999,2.509510040283203,141.65097952361643
2,3,7,1.2283899784088135,True,11.584000000000003,3.366335868835449,203.49447166937978
2,3,8,2.026270866394043,True,18.783999999999992,3.779294967651367,327.1266392633291
2,3,9,2.0799641609191895,True,13.024000000000001,4.33893895149231,261.6123085789352
2,3,10,2.149448871612549,True,18.400000000000034,4.34598708152771,409.3533791322502
2,3,11,1.9983961582183838,True,15.551999999999964,3.696856737136841,275.8431959487736
2,3,12,1.7856619358062744,True,11.232000000000028,4.069901943206787,259.38789782178605
2,3,13,0.9406077861785889,True,5.759999999999991,2.4995460510253906,82.23959724469073
2,3,14,1.5125691890716553,True,16.031999999999982,3.2174599170684814,310.007898165116
2,3,15,0.9864530563354492,True,10.560000000000002,3.114393949508667,191.637678967368
2,3,16,2.015141248703003,True,16.096000000000004,3.950803279876709,323.58445079762197
2,3,17,1.7636141777038574,True,7.424000000000035,3.912123918533325,118.37651794169315
2,3,18,1.8180170059204102,True,12.063999999999965,3.9290108680725098,208.5209821576716
2,3,19,1.563133955001831,True,11.552000000000021,3.6916661262512207,211.65340473851882
3,3,0,1.9806458950042725,True,10.336000000000013,3.8328938484191895,192.5270543611557
3,3,1,2.28550386428833,True,13.375999999999976,4.981828212738037,207.61751023221598
3,3,2,1.9458248615264893,True,13.536000000000001,3.6659629344940186,232.373089844596
3,3,3,2.6845948696136475,True,22.015999999999963,5.208985805511475,451.1139130631987
3,3,4,2.299858331680298,True,23.104000000000042,4.841677904129028,437.12422190745434
3,3,5,2.156856060028076,True,6.847999999999956,4.229944944381714,69.71177483710576
3,3,6,1.9089200496673584,True,11.328000000000088,4.1532862186431885,198.62637089758653
3,3,7,2.352067232131958,True,12.863999999999919,4.109164237976074,243.26117732398166
3,3,8,2.5253612995147705,True,18.656000000000063,5.318536043167114,329.15041586100597
3,3,9,2.4575347900390625,True,15.360000000000014,4.616472959518433,281.08629014140706
3,3,10,2.5775790214538574,True,25.88799999999992,5.006582021713257,509.24807854311854
3,3,11,2.5823910236358643,True,15.392000000000053,4.722754955291748,275.84319594878247
3,3,12,1.7544550895690918,True,12.0,3.4573137760162354,259.76920464127585
3,3,13,1.2755491733551025,True,5.600000000000023,3.4759812355041504,82.23959724469073
3,3,14,2.6726889610290527,True,25.15199999999993,5.203902959823608,470.2850874134223
3,3,15,1.3709628582000732,True,10.783999999999992,3.4973912239074707,191.63767896957495
3,3,16,2.2960598468780518,True,16.096000000000004,4.026075124740601,324.0678710351118
3,3,17,2.3527469635009766,True,11.040000000000077,5.216103792190552,194.29250679986137
3,3,18,2.1206347942352295,True,14.975999999999999,4.35851788520813,272.9658639745319
3,3,19,1.9389498233795166,True,13.88799999999992,4.079344034194946,257.95566097374433
4,3,0,2.8989992141723633,True,10.176000000000045,4.845003843307495,196.60175326254512
4,3,1,2.8773820400238037,True,17.34400000000005,5.753096103668213,277.4888574372671
4,3,2,2.75327205657959,True,14.015999999999963,4.923228979110718,232.3730898528809
4,3,3,3.7774479389190674,True,22.367999999999938,6.187445163726807,450.03397923516707
4,3,4,3.0381429195404053,True,23.648000000000025,5.342314958572388,438.89826305547433
4,3,5,2.860574960708618,True,15.136000000000081,5.022083759307861,220.24165015992904
4,3,6,2.730513095855713,True,600.0639999999999,31.945114135742188,349.3180775136814
4,3,7,2.565702199935913,True,19.072000000000116,4.293281078338623,355.65185076455447
4,3,8,2.840938091278076,True,18.720000000000027,5.046795129776001,368.18592346250523
4,3,9,3.1736948490142822,True,22.847999999999956,5.565767049789429,417.6357010025471
4,3,10,3.0957040786743164,True,37.53600000000006,44.10169291496277,503.54168116858347
4,3,11,2.9913837909698486,True,15.551999999999907,4.837340354919434,275.8431959510533
4,3,12,2.874281883239746,True,20.480000000000018,5.6524200439453125,391.3157957340789
4,3,13,2.550053834915161,True,11.776000000000067,4.695403099060059,224.76861807117854
4,3,14,2.8813588619232178,True,25.279999999999973,4.777021884918213,470.79015283130315
4,3,15,2.034090995788574,True,14.975999999999885,4.209992170333862,272.5708950613075
4,3,16,2.7073731422424316,True,16.6400000000001,4.410068035125732,341.8522483117306
4,3,17,2.8860650062561035,True,13.791999999999916,5.796111106872559,219.37237920784438
4,3,18,2.61794114112854,True,15.423999999999978,4.742231845855713,273.48145364573804
4,3,19,2.6182761192321777,True,15.776000000000067,4.809437990188599,294.3186125073093
1,2,0,0.9092400074005127,True,2.3040000000000003,1.8964672088623047,12.041594578792296
1,2,1,1.3218629360198975,True,4.224,2.9002392292022705,31.38470965295043
1,2,2,1.0543773174285889,True,3.103999999999999,3.1598548889160156,38.2099463490856
1,2,3,1.186856985092163,True,15.712000000000002,3.658012866973877,341.181889219564
1,2,4,1.1898279190063477,True,13.728000000000002,3.40722393989563,252.74486079495233
1,2,5,0.9964809417724609,True,9.823999999999998,3.0851099491119385,175.60182231400674
1,2,6,0.5846588611602783,True,5.280000000000001,2.658024787902832,67.4166151627327
1,2,7,0.5756080150604248,True,5.631999999999998,2.730891704559326,92.78469701410896
1,2,8,0.9608457088470459,True,4.832000000000001,3.1404869556427,62.07253821135398
1,2,9,1.2043449878692627,True,8.480000000000004,3.7713000774383545,152.21038072352357
1,2,10,1.3933470249176025,True,18.208,3.9266209602355957,409.07690496341365
1,2,11,0.8955249786376953,True,7.647999999999996,2.9861459732055664,106.7379969832674
1,2,12,0.8850610256195068,True,9.055999999999997,2.989886999130249,165.10905486980417
1,2,13,0.6993417739868164,True,6.240000000000009,2.8160130977630615,76.48529270389177
1,2,14,0.8282718658447266,True,4.671999999999997,2.89738392829895,73.87827826905551
1,2,15,0.6530852317810059,True,10.464000000000013,2.970660924911499,191.637678967368
1,2,16,1.088364839553833,True,12.863999999999976,3.336906909942627,283.1130516242584
1,2,17,0.994452953338623,True,2.4000000000000057,2.9604380130767822,41.10960958218893
1,2,18,0.9139688014984131,True,5.343999999999994,3.088183879852295,75.95393340703298
1,2,19,1.3922250270843506,True,9.920000000000016,3.6595678329467773,163.3064603743526
2,2,0,1.3590540885925293,True,9.984000000000009,4.031997919082642,192.0704423451814
2,2,1,1.8705620765686035,True,8.543999999999983,4.4115540981292725,150.45597362683876
2,2,2,1.5022621154785156,True,6.400000000000006,3.7347772121429443,86.29320746977083
2,2,3,1.8279731273651123,True,16.03200000000001,4.543835163116455,341.87308768090264
2,2,4,1.4012820720672607,True,14.623999999999995,3.598595142364502,284.463429006628
2,2,5,2.0324296951293945,True,17.087999999999994,4.9594502449035645,350.66142454966484
2,2,6,1.5679190158843994,True,8.671999999999997,3.8382327556610107,161.61648937978424
2,2,7,2.301532745361328,True,13.087999999999994,5.025439023971558,241.93008384556092
2,2,8,1.8938531875610352,True,8.064000000000021,4.688669919967651,166.60447991850862
2,2,9,1.8609468936920166,True,8.447999999999979,4.005366086959839,172.53985046939155
2,2,10,2.7106940746307373,True,26.656000000000006,5.686634063720703,507.65228245627407
2,2,11,1.9730589389801025,True,8.543999999999983,3.742953062057495,124.32618388738553
2,2,12,1.31819486618042,True,10.944000000000017,4.653779983520508,198.91414341679152
2,2,13,1.4488906860351562,True,10.048000000000002,4.0102620124816895,169.59363195591985
2,2,14,1.5798821449279785,True,5.375999999999976,3.701244831085205,73.87827826905551
2,2,15,1.0670537948608398,True,9.920000000000016,3.660452127456665,191.63767896752137
2,2,16,1.7763969898223877,True,13.824000000000012,4.511986017227173,283.113051624294
2,2,17,1.6504919528961182,True,10.75200000000001,3.749269962310791,194.29250679986137
2,2,18,1.5021729469299316,True,11.26400000000001,4.030845880508423,208.52098215833144
2,2,19,1.3976831436157227,True,9.567999999999984,3.6189849376678467,163.3064603743526
3,2,0,2.009159803390503,True,11.327999999999975,4.726486921310425,196.71157097021563
3,2,1,2.2884578704833984,True,12.032000000000039,4.887742757797241,220.3272839051096
3,2,2,2.3955471515655518,True,6.271999999999991,5.032722234725952,86.29320746977083
3,2,3,3.186285972595215,True,16.480000000000018,6.323248863220215,341.2805503636487
3,2,4,2.1062779426574707,True,16.799999999999955,4.4285948276519775,293.2593847755958
3,2,5,2.799186944961548,True,18.78400000000005,5.908340930938721,351.02043536908957
3,2,6,2.0890769958496094,True,8.991999999999962,5.252799034118652,161.68643021276034
3,2,7,2.4563310146331787,True,13.343999999999994,5.127920150756836,242.32604791440312
3,2,8,2.411282777786255,True,10.30400000000003,5.780829906463623,197.98066399203162
3,2,9,2.7320361137390137,True,14.560000000000002,5.401262998580933,247.92871752479908
3,2,10,3.053327798843384,True,36.57600000000002,25.393516063690186,503.90684137439723
3,2,11,2.712589740753174,True,18.94399999999996,5.548629999160767,276.1441440664735
3,2,12,2.164707899093628,True,11.200000000000045,4.319034099578857,216.84326184882497
3,2,13,2.6247081756591797,True,9.823999999999955,6.338244199752808,169.5936319559199
3,2,14,2.235940933227539,True,5.536000000000058,4.346434116363525,90.47651629014017
3,2,15,1.7050082683563232,True,13.951999999999998,5.982633113861084,237.68257320775993
3,2,16,2.2497222423553467,True,14.559999999999945,5.5319602489471436,283.1130518006606
3,2,17,2.5970098972320557,True,13.600000000000023,5.0777599811553955,219.37237920783033
3,2,18,2.1883440017700195,True,11.967999999999961,5.057748317718506,208.52098430963446
3,2,19,2.1719470024108887,True,9.632000000000062,5.608691215515137,163.3064603803067
4,2,0,2.518371820449829,True,10.463999999999942,5.1700849533081055,197.18740377257666
4,2,1,2.92024302482605,True,18.687999999999988,6.105074167251587,361.13929279036836
4,2,2,2.6144540309906006,True,6.5919999999999845,5.757713079452515,86.29320746977083
4,2,3,2.9181199073791504,True,18.720000000000027,6.22396993637085,342.2512660406037
4,2,4,2.9720261096954346,True,15.615999999999985,6.343785047531128,282.95556898679416
4,2,5,3.4024877548217773,True,17.152000000000044,6.721839189529419,355.51992779509465
4,2,6,2.6933178901672363,True,12.223999999999933,6.036647081375122,223.05935261405062
4,2,7,2.9360251426696777,True,12.480000000000018,6.045524835586548,244.1323975259211
4,2,8,2.958757162094116,True,15.744000000000028,5.155519962310791,270.46080825060443
4,2,9,2.974626064300537,True,12.960000000000036,5.934520721435547,247.92871757418874
4,2,10,3.1626248359680176,True,22.751999999999953,6.014357089996338,437.81886914492674
4,2,11,2.9260730743408203,True,19.423999999999978,5.989822149276733,275.8828370248938
4,2,12,2.7905211448669434,True,11.328000000000088,5.645704984664917,216.8433519647674
4,2,13,2.593546152114868,True,10.17599999999993,5.75154709815979,177.32096266159354
4,2,14,3.3556339740753174,True,17.05600000000004,6.130039930343628,324.83371612342324
4,2,15,2.167325019836426,True,13.79200000000003,5.788639068603516,237.68257063814076
4,2,16,2.7475030422210693,True,13.759999999999991,6.137433290481567,283.1671972884637
4,2,17,2.7619457244873047,True,13.15199999999993,5.442545175552368,219.37237923381096
4,2,18,2.4783706665039062,True,11.648000000000025,5.060401916503906,208.5604859753039
4,2,19,2.6735239028930664,True,10.847999999999956,6.508594036102295,199.32034662217328
7,2,0,4.72577691078186,True,19.68,6.789458990097046,384.2999947264023
7,2,1,4.307344913482666,True,18.208,7.54541802406311,361.1955039602625
7,2,2,3.9791367053985596,True,8.992000000000004,5.603186130523682,109.42281016353886
7,2,3,4.180995225906372,True,19.648000000000003,8.515594005584717,354.1429787811948
7,2,4,4.388012170791626,True,18.432000000000002,7.73007607460022,330.44871350309074
7,2,5,4.407124042510986,True,20.384,7.739964962005615,384.4839569032474
7,2,6,3.7843971252441406,True,12.671999999999997,5.970097064971924,224.96675717311805
7,2,7,5.05318808555603,True,26.495999999999995,9.063737154006958,384.989928100635
7,2,8,4.296017169952393,True,20.608000000000004,7.521222829818726,365.15786342131855
7,2,9,4.745293140411377,True,19.104000000000013,8.058398962020874,348.4032576991225
7,2,10,4.149713039398193,True,36.095999999999975,45.38081908226013,513.1998972507712
7,2,11,4.471595048904419,True,20.32000000000002,8.954481840133667,324.00204155104444
7,2,12,4.713045835494995,True,15.744,7.990469932556152,270.84810191612246
7,2,13,4.072937965393066,True,13.824000000000012,6.467473030090332,215.95539684775167
7,2,14,4.572779178619385,True,18.879999999999995,8.497775793075562,346.27496079442614
7,2,15,4.656105995178223,True,18.20799999999997,8.090097904205322,317.54477633194136
7,2,16,3.5172641277313232,True,16.192000000000007,6.827775955200195,298.7230362255516
7,2,17,3.9515461921691895,True,14.367999999999995,7.253790378570557,238.28294372710852
7,2,18,3.6945810317993164,True,16.672000000000025,6.871968984603882,251.80695142419637
7,2,19,4.035873174667358,True,13.024000000000001,7.118818759918213,219.6066712829191
10,2,0,9.867830038070679,True,600.064,81.00263786315918,538.0678668063966
10,2,1,5.431050062179565,True,600.0640000000001,58.666404247283936,526.5923116350353
10,2,2,5.177776098251343,True,22.11200000000008,8.155197858810425,365.0888992221581
10,2,3,5.615392208099365,True,600.0959999999998,57.85466504096985,544.7722644874063
10,2,4,5.1567699909210205,True,600.0640000000003,37.70490288734436,618.9527961798788
10,2,5,7.675847053527832,True,600.0639999999999,60.16917705535889,735.3470209207583
10,2,6,7.2089903354644775,True,35.71199999999999,30.286755800247192,636.3394322350601
10,2,7,6.506930112838745,True,27.23199999999997,9.98318886756897,513.9824177400172
10,2,8,5.2072508335113525,True,44.83199999999988,28.339119911193848,539.788833776269
10,2,9,5.818934917449951,True,46.14400000000023,29.268710136413574,529.4021483826897
10,2,10,6.296344995498657,True,62.847999999999956,69.7524778842926,622.3658905178909
10,2,11,5.226834297180176,True,600.096,37.985960960388184,558.3935134795817
10,2,12,5.77862286567688,True,25.471999999999753,7.841348171234131,486.2062006215607
10,2,13,6.082354307174683,True,28.032000000000153,29.470146894454956,384.28724483753524
10,2,14,5.303398847579956,True,25.855999999999767,28.88069200515747,371.6485501127174
10,2,15,6.77129602432251,True,600.0640000000003,78.8152379989624,494.50042126622986
10,2,16,5.06703782081604,True,19.583999999999833,7.752577066421509,356.89533625579213
10,2,17,6.232709884643555,True,34.97600000000057,29.961350917816162,369.51559809163086
10,2,18,6.869473934173584,True,600.0639999999994,113.33240127563477,462.4960942289066
10,2,19,9.507561922073364,True,34.11200000000008,32.250560998916626,497.99690989757346
7,3,0,4.495629072189331,True,30.01600000000053,7.0066821575164795,561.359516122169
7,3,1,4.278915166854858,True,600.0639999999994,14.459727764129639,418.3050541641951
7,3,2,3.9050590991973877,True,16.512000000000626,5.603932857513428,258.5682365251781
7,3,3,4.4534196853637695,True,26.591999999999643,6.349244117736816,516.2710780707259
7,3,4,4.677977085113525,True,55.32799999999952,46.482298135757446,552.9771136860629
7,3,5,3.7457611560821533,True,18.688000000000102,6.19979190826416,281.6478497770529
7,3,6,3.9362690448760986,True,30.33600000000024,26.366163969039917,416.95048418529285
7,3,7,4.985321044921875,True,33.503999999999905,7.437462091445923,581.5011134919713
7,3,8,4.158596038818359,True,24.76800000000003,6.088490962982178,453.7765623826744
7,3,9,4.671404123306274,True,600.0640000000003,35.97674512863159,450.16721591730254
7,3,10,4.398659944534302,True,38.43199999999979,25.615968942642212,531.7481014155364
7,3,11,3.6709749698638916,True,24.416000000000167,6.122851133346558,444.76475456606914
7,3,12,4.168931245803833,True,22.55999999999949,6.033450126647949,433.6174508960372
7,3,13,3.727351188659668,True,16.09600000000046,5.992832899093628,269.25128407600323
7,3,14,3.6897940635681152,True,25.408000000000357,26.58276104927063,459.40700390356585
7,3,15,4.076354742050171,True,28.31999999999971,26.620927333831787,373.76074982229704
7,3,16,3.8593242168426514,True,22.623999999999796,6.688871145248413,377.488503444927
7,3,17,4.264113903045654,True,16.76800000000003,6.68065881729126,301.4941912390152
7,3,18,4.054956912994385,True,600.0640000000003,33.7416090965271,461.0169293806781
7,3,19,4.152928113937378,True,16.960000000000036,5.431050062179565,311.0869214959188
10,3,0,5.553725242614746,True,600.0960000000005,104.15410828590393,745.621897467412
10,3,1,4.355474948883057,True,31.00799999999981,6.721563100814819,567.4147067965012
10,3,2,4.872878074645996,True,600.0640000000003,49.095885038375854,499.732815318362
10,3,3,5.09929084777832,True,600.0639999999985,49.19510078430176,791.4038427887147
10,3,4,4.813667058944702,True,46.07999999999993,24.542931079864502,722.7688484698535
10,3,5,4.242415904998779,True,600.0640000000003,30.642791986465454,392.6558930568051
10,3,6,5.559072971343994,True,46.97600000000057,25.0108060836792,604.3173826777588
10,3,7,5.467410087585449,True,47.96800000000076,25.974470138549805,616.3323796797132
10,3,8,4.856794834136963,True,47.23199999999997,24.341893911361694,701.2149844221091
10,3,9,4.618699073791504,True,600.0639999999985,67.14542007446289,675.0368826732972
10,3,10,5.646553039550781,True,70.6880000000001,63.94958806037903,775.8567237727268
10,3,11,5.327777147293091,True,45.02400000000125,44.21626091003418,476.8234661445502
10,3,12,5.6523730754852295,True,600.0640000000003,50.92166304588318,567.146606700365
10,3,13,5.450879096984863,True,42.8799999999992,25.178531169891357,575.1964869132437
10,3,14,6.770491123199463,True,46.495999999999185,63.27517819404602,730.6712474257727
10,3,15,5.615483999252319,True,600.0640000000003,106.86119508743286,681.8861736830851
10,3,16,4.541278839111328,True,45.952000000001135,25.903181791305542,555.1609891330495
10,3,17,4.478805065155029,True,22.11199999999917,6.649358749389648,372.22525435104296
10,3,18,4.916542053222656,True,83.36000000000058,62.16083788871765,542.8440279419564
10,3,19,5.48835015296936,True,600.0640000000003,33.90965294837952,479.7283505044276
7,4,0,5.568057060241699,True,600.0639999999985,29.872156143188477,1125.8246115181812
7,4,1,3.653686046600342,True,47.90400000000045,21.576788187026978,696.7028474585493
7,4,2,2.7859649658203125,True,38.23999999999978,21.230590105056763,521.9186182039882
7,4,3,2.9753520488739014,True,50.23999999999978,4.560899972915649,920.6624094871485
7,4,4,2.735556125640869,True,58.400000000001455,20.99738907814026,948.1086917411186
7,4,5,2.866654872894287,True,44.4479999999985,21.138075828552246,485.75633649746885
7,4,6,3.4224069118499756,True,40.832000000000335,4.901241779327393,758.8660344918114
